title,start_iso,end_iso,category,miles_from_cincy,location,city_state,url,source,lat,lon,last_seen_iso
Columbus Cars & Coffee Sundays,2026-02-08T00:00:00-05:00,2026-02-08T02:00:00-05:00,local,110.0,"Starbucks in Westerville 691 N. Cleveland Ave, Westerville, OH, United States 691 N. Cleveland Ave, Westerville, OH, United States","Westerville, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee-sundays/2026-02-08/,CarsAndCoffeeEvents - Ohio,40.126139,-82.9295287,2026-02-08T15:24:31.738158-05:00
Columbus Cars & Coffee @ Starbucks,2026-02-08T00:00:00-05:00,2026-02-08T02:00:00-05:00,local,110.0,"Starbucks (Westerville) 691 N. Cleveland Ave, Westerville, OH, United States 691 N. Cleveland Ave, Westerville, OH, United States","Westerville, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee-starbucks/2026-02-08/,CarsAndCoffeeEvents - Ohio,40.126139,-82.9295287,2026-02-08T15:24:31.738296-05:00
ACKY Cars and Coffee,2026-02-08T00:00:00-05:00,2026-02-08T02:00:00-05:00,local,0.1,"Circuit Cafe 2726 Riverside Drive, Cincinnati, OH, United States 2726 Riverside Drive, Cincinnati, OH, United States","Cincinnati, OH",https://carsandcoffeeevents.com/event/acky-cars-and-coffee/2026-02-08/,CarsAndCoffeeEvents - Ohio,39.1014537,-84.5124602,2026-02-08T15:24:31.738425-05:00
Columbus Cafe Racers Monthly Lunch Cruise In,2026-02-11T00:00:00-05:00,2026-02-11T02:00:00-05:00,rally,100.0,"Twin Peaks Polaris 1611 Polaris Parkway, Columbus, OH, United States 1611 Polaris Parkway, Columbus, OH, United States","Columbus, OH",https://carsandcoffeeevents.com/event/columbus-cafe-racers-monthly-luch-cruise-in/2026-02-11/,CarsAndCoffeeEvents - Ohio,39.9622601,-83.0007065,2026-02-11T16:34:34.854403-05:00
Columbus Cars & Coffee Fridays,2026-02-13T00:00:00-05:00,2026-02-13T02:00:00-05:00,local,,"Colin's Coffee 2812 Fishinger Rd, Upper Arlington, United States 2812 Fishinger Rd, Upper Arlington, United States",,https://carsandcoffeeevents.com/event/columbus-cars-coffee-fridays/2026-02-13/,CarsAndCoffeeEvents - Ohio,,,2026-02-12T21:54:39.592563-05:00
Cincinnati Cars and Coffee,2026-02-14T00:00:00-05:00,2026-02-14T02:00:00-05:00,local,6.5,"Crestview Hills Town Center 2791 Town Center Blvd, Crestview Hills, KY, United States 2791 Town Center Blvd, Crestview Hills, KY, United States","Crestview Hills, KY",https://carsandcoffeeevents.com/event/cincinnati-cars-and-coffee-3/2026-02-14/,CarsAndCoffeeEvents - Ohio,39.0272829,-84.5849438,2026-02-12T21:54:39.592665-05:00
Columbus Cars & Coffee,2026-02-14T00:00:00-05:00,2026-02-14T02:00:00-05:00,local,100.0,"The Ohio State University Wexner Medical Center 3650 Olentangy River Rd, Columbus, OH, United States 3650 Olentangy River Rd, Columbus, OH, United States","Columbus, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee/2026-02-14/,CarsAndCoffeeEvents - Ohio,39.9622601,-83.0007065,2026-02-12T21:54:39.592803-05:00
Columbus Cars & Coffee @ The City,2026-02-14T00:00:00-05:00,2026-02-14T02:00:00-05:00,local,100.0,"The City Apartments 2875 Olentangy River Road, Columbus, OH, United States 2875 Olentangy River Road, Columbus, OH, United States","Columbus, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee-the-city/2026-02-14/,CarsAndCoffeeEvents - Ohio,39.9622601,-83.0007065,2026-02-12T21:54:39.592903-05:00
Destination Cars and Coffee,2026-02-14T00:00:00-05:00,2026-02-14T02:00:00-05:00,local,63.3,"Destination Outlets 8000 Factory Shops Boulevard, Jeffersonville, OH, United States 8000 Factory Shops Boulevard, Jeffersonville, OH, United States","Jeffersonville, OH",https://carsandcoffeeevents.com/event/destination-cars-and-coffee/2026-02-14/,CarsAndCoffeeEvents - Ohio,39.6536719,-83.5638094,2026-02-12T21:54:39.593004-05:00
Columbus Cars & Coffee Sundays,2026-02-15T00:00:00-05:00,2026-02-15T02:00:00-05:00,local,110.0,"Starbucks in Westerville 691 N. Cleveland Ave, Westerville, OH, United States 691 N. Cleveland Ave, Westerville, OH, United States","Westerville, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee-sundays/2026-02-15/,CarsAndCoffeeEvents - Ohio,40.126139,-82.9295287,2026-02-12T21:54:39.593103-05:00
Columbus Cars & Coffee @ Starbucks,2026-02-15T00:00:00-05:00,2026-02-15T02:00:00-05:00,local,110.0,"Starbucks (Westerville) 691 N. Cleveland Ave, Westerville, OH, United States 691 N. Cleveland Ave, Westerville, OH, United States","Westerville, OH",https://carsandcoffeeevents.com/event/columbus-cars-coffee-starbucks/2026-02-15/,CarsAndCoffeeEvents - Ohio,40.126139,-82.9295287,2026-02-12T21:54:39.593197-05:00
ACKY Cars and Coffee,2026-02-15T00:00:00-05:00,2026-02-15T02:00:00-05:00,local,0.1,"Circuit Cafe 2726 Riverside Drive, Cincinnati, OH, United States 2726 Riverside Drive, Cincinnati, OH, United States","Cincinnati, OH",https://carsandcoffeeevents.com/event/acky-cars-and-coffee/2026-02-15/,CarsAndCoffeeEvents - Ohio,39.1014537,-84.5124602,2026-02-12T21:54:39.593288-05:00
Columbus Cars & Coffee Fridays,2026-02-20T00:00:00-05:00,2026-02-20T02:00:00-05:00,local,,"Colin's Coffee 2812 Fishinger Rd, Upper Arlington, United States 2812 Fishinger Rd, Upper Arlington, United States",,https://carsandcoffeeevents.com/event/columbus-cars-coffee-fridays/2026-02-20/,CarsAndCoffeeEvents - Ohio,,,2026-02-12T21:54:39.593397-05:00
Cincinnati Cars and Coffee,2026-02-21T00:00:00-05:00,2026-02-21T02:00:00-05:00,local,6.5,"Crestview Hills Town Center 2791 Town Center Blvd, Crestview Hills, KY, United States 2791 Town Center Blvd, Crestview Hills, KY, United States","Crestview Hills, KY",https://carsandcoffeeevents.com/event/cincinnati-cars-and-coffee-3/2026-02-21/,CarsAndCoffeeEvents - Ohio,39.0272829,-84.5849438,2026-02-12T21:54:39.593497-05:00
ProductTank Wilmington Coming Soon,2026-02-28T19:00:00-05:00,2026-02-28T21:00:00-05:00,local,,"[{'@type': 'VirtualLocation', 'url': 'https://www.meetup.com/producttank-wilmington/events/313191136/'}, {'@type': 'Place', 'address': {'@type': 'PostalAddress', 'addressLocality': '', 'addressRegion': '', 'addressCountry': ''}}]",,https://www.meetup.com/producttank-wilmington/events/313191136/,Meetup Cincy Cars,,,2026-02-12T21:54:45.866142-05:00
ProductTank Wilmington Coming Soon,2026-02-28T19:00:00-05:00,2026-02-28T21:00:00-05:00,local,,"[{'@type': 'VirtualLocation', 'url': 'https://www.meetup.com/en-AU/producttank-wilmington/events/313191136/'}, {'@type': 'Place', 'address': {'@type': 'PostalAddress', 'addressLocality': '', 'addressRegion': '', 'addressCountry': ''}}]",,https://www.meetup.com/en-AU/producttank-wilmington/events/313191136/,Meetup Cincy Cars,,,2026-02-12T14:29:25.815505-05:00
Annual Car Show & Chicken Dinner,2026-06-28T11:00:00-04:00,2026-06-28T14:30:00-04:00,local,18.1,"Perfect Place Ln, Lawrenceburg, IN 47025, United States","Lawrenceburg, IN",https://facebook.com/events/s/annual-car-show-chicken-dinner/2048696039298978/,Community Rally Calendar (iCloud),39.090891,-84.8499504,2026-02-12T21:54:39.595121-05:00
Dynasty Rally 2026,2026-07-18T09:00:00-04:00,2026-07-20T18:00:00-04:00,rally,,Circuit Cafe / Cincinnati Cars & Coffee,,https://facebook.com/events/s/dynasty-rally-2026/1480331986501090/,Community Rally Calendar (iCloud),,,2026-02-12T21:54:39.595442-05:00
